order_id,order_date,sku,product,category,quantity,unit_price,discount_pct,net_total,region,channel,sales_rep
5025,2024-01-01,SKU-1003,27in Monitor,Displays,18,299.00,10,4843.80,APAC,retail,A. Singh
5023,2024-01-02,SKU-1007,Noise-Cancel Headset,Audio,6,199.99,5,1139.94,APAC,partner,B. Cohen
5083,2024-01-03,SKU-1003,27in Monitor,Displays,21,299.00,15,5337.15,NA,retail,B. Cohen
5226,2024-01-04,SKU-1007,Noise-Cancel Headset,Audio,20,199.99,0,3999.80,EMEA,retail,B. Cohen
5253,2024-01-10,SKU-1007,Noise-Cancel Headset,Audio,17,199.99,0,3399.83,APAC,retail,B. Cohen
5033,2024-01-17,SKU-1001,Mechanical Keyboard,Peripherals,8,89.99,0,719.92,APAC,online,E. Okafor
5354,2024-01-20,SKU-1003,27in Monitor,Displays,24,299.00,0,7176.00,NA,retail,E. Okafor
5061,2024-01-21,SKU-1001,Mechanical Keyboard,Peripherals,10,89.99,0,899.90,APAC,online,F. Rossi
5101,2024-01-21,SKU-1002,Wireless Mouse,Peripherals,25,34.50,15,733.12,NA,online,B. Cohen
5124,2024-01-24,SKU-1009,External SSD 1TB,Storage,5,129.00,0,645.00,NA,partner,C. Nakamura
5270,2024-01-25,SKU-1004,USB-C Hub,Accessories,10,59.95,0,599.50,EMEA,retail,F. Rossi
5282,2024-01-25,SKU-1004,USB-C Hub,Accessories,10,59.95,0,599.50,APAC,retail,A. Singh
5040,2024-01-26,SKU-1008,Desk Lamp,Accessories,18,27.40,0,493.20,NA,online,B. Cohen
5348,2024-01-26,SKU-1010,Docking Station,Accessories,8,189.50,0,1516.00,EMEA,partner,B. Cohen
5200,2024-01-27,SKU-1001,Mechanical Keyboard,Peripherals,6,89.99,0,539.94,EMEA,partner,D. Muller
5221,2024-01-27,SKU-1010,Docking Station,Accessories,20,189.50,0,3790.00,EMEA,online,E. Okafor
5261,2024-01-27,SKU-1010,Docking Station,Accessories,5,189.50,0,947.50,LATAM,retail,E. Okafor
5137,2024-01-31,SKU-1005,Laptop Stand,Accessories,5,42.00,0,210.00,EMEA,retail,E. Okafor
5212,2024-01-31,SKU-1006,Webcam 1080p,Peripherals,5,78.25,10,352.12,APAC,partner,A. Singh
5245,2024-02-01,SKU-1008,Desk Lamp,Accessories,17,27.40,0,465.80,LATAM,online,C. Nakamura
5031,2024-02-02,SKU-1002,Wireless Mouse,Peripherals,8,34.50,0,276.00,APAC,online,E. Okafor
5201,2024-02-02,SKU-1009,External SSD 1TB,Storage,4,129.00,15,438.60,LATAM,retail,C. Nakamura
5067,2024-02-05,SKU-1007,Noise-Cancel Headset,Audio,11,199.99,0,2199.89,APAC,retail,F. Rossi
5108,2024-02-05,SKU-1007,Noise-Cancel Headset,Audio,22,199.99,0,4399.78,APAC,online,D. Muller
5155,2024-02-05,SKU-1009,External SSD 1TB,Storage,24,129.00,0,3096.00,APAC,retail,C. Nakamura
5050,2024-02-07,SKU-1005,Laptop Stand,Accessories,15,42.00,0,630.00,NA,retail,E. Okafor
5088,2024-02-09,SKU-1004,USB-C Hub,Accessories,9,59.95,5,512.57,APAC,online,C. Nakamura
5008,2024-02-10,SKU-1009,External SSD 1TB,Storage,4,129.00,5,490.20,APAC,partner,E. Okafor
5010,2024-02-10,SKU-1004,USB-C Hub,Accessories,25,59.95,0,1498.75,EMEA,online,D. Muller
5268,2024-02-10,SKU-1008,Desk Lamp,Accessories,20,27.40,0,548.00,NA,retail,B. Cohen
5307,2024-02-10,SKU-1006,Webcam 1080p,Peripherals,17,78.25,0,1330.25,APAC,online,F. Rossi
